accountId,name,summonerName,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,gameId
200394182,MJ,TheRoughead,7,true,3004,1055,3057,3101,3158,1028,3340,9,3,5,4,1,3,353,0,0,0,0,0,42697,9096,31044,2556,0,7133,2360,4581,191,432,1,2286,2182,2182,2,0,6307,510,5499,297,7972,6400,0,0,67,0,0,0,2,11,0,0,1,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,356,0,0,8126,191,0,0,8120,12,0,0,8135,4,0,0,9111,342,0,0,8014,215,0,0,8100,8000,213013310
200394182,MJ,TheRoughead,7,false,2420,1400,3134,3742,3117,3156,3340,6,8,4,2,2,2,557,1,0,0,0,0,111702,23371,79511,8819,0,12501,1722,10209,569,8585,1,25322,5476,1218,28,11,32882,17283,13416,2182,11193,10925,1,0,45,78,51,15,479,14,0,0,11,2,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1191,0,0,8126,343,0,0,8120,16,0,0,8135,5,0,0,9111,574,0,0,8014,174,0,0,8100,8000,212863847
200945577,DJ,angjanrg,8,false,1026,1056,3285,3020,1052,0,3340,0,10,11,0,0,0,646,0,0,0,0,0,59358,55417,3755,185,0,14280,13550,729,0,1245,2,10890,3549,364,19,63,17436,10061,6607,767,6834,6135,1,0,47,0,0,0,240,15,0,0,8,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2047,0,0,8226,250,1817,0,8210,0,0,0,8236,48,0,0,8138,12,0,0,8105,4,0,0,8200,8100,214350662
200945577,DJ,angjanrg,4,false,3157,3285,3158,3113,1058,0,3340,2,9,10,2,1,1,607,0,0,0,0,0,123415,113641,5152,4621,0,11185,10516,625,44,1782,1,10103,3280,2049,16,46,20877,9043,11646,187,10411,9600,0,0,117,16,16,0,126,17,0,0,9,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,585,0,0,8226,250,877,0,8234,23,0,0,8237,332,0,0,8473,644,0,0,8472,0,0,0,8200,8400,214338262
200244107,Big PATTO,aPatto,5,false,3135,3157,3285,3165,3020,1033,3340,3,9,15,0,1,0,604,0,0,0,0,0,201721,191652,8499,1570,0,42235,41097,1138,0,1265,1,12436,7549,4430,18,38,25648,10634,14399,614,14755,13950,1,0,222,4,4,0,368,18,0,0,11,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,4399,0,0,8226,250,1401,0,8210,0,0,0,8236,80,0,0,8138,30,0,0,8105,5,0,0,8200,8100,214338262
200244107,Big PATTO,aPatto,2,false,3157,1058,3151,3802,1058,3020,3340,3,5,6,2,1,1,696,0,0,0,0,0,128861,121005,7855,0,0,27433,26757,676,0,519,1,5787,3655,1126,21,36,12521,2905,9078,537,11439,11535,1,0,165,1,1,0,293,15,0,0,15,2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2029,0,0,8243,15,0,0,8210,0,0,0,8236,48,0,0,8347,0,0,0,8313,0,0,0,8200,8300,205395724
201454954,Seedy Sam,Seedysam23,6,false,1401,3146,3047,3101,3091,3124,3340,13,12,13,6,1,3,547,0,0,0,0,0,163728,81729,72441,9558,0,24614,16733,5615,2266,24384,1,44201,32877,1242,25,35,54671,17450,34802,2418,14924,13950,1,0,58,102,47,22,468,17,0,0,10,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,3319,2170,1148,9111,1440,0,0,9104,12,40,0,8014,546,0,0,8236,48,0,0,8234,65,0,0,8000,8200,214384844
201454954,Seedy Sam,Seedysam23,10,false,1402,3157,3020,3102,0,0,3340,5,13,9,3,1,1,528,0,0,0,0,0,123733,105956,10294,7482,0,20221,19261,720,240,15403,1,18396,13995,683,28,87,35372,10887,23398,1086,10327,9775,1,0,70,56,25,4,484,15,0,0,11,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1356,0,0,8226,250,856,0,8210,0,0,0,8236,48,0,0,8135,5,0,0,8143,506,0,0,8200,8100,214357289
201168754,BIG RIX,RiXY14,8,true,3085,3006,3072,3087,1036,1038,3340,5,5,12,2,2,2,811,1,0,0,0,0,136212,19911,115596,704,562,22989,2182,20719,88,2141,4,10639,8091,3914,12,0,19901,10603,8962,336,12967,12150,1,0,151,1,1,0,2432,17,0,0,10,0,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174074060
201168754,BIG RIX,RiXY14,7,true,3508,3006,3072,3087,0,0,3340,5,1,6,3,1,2,887,0,0,0,0,0,147121,20137,126983,0,476,10968,2781,8186,0,1598,2,6122,18872,10384,18,0,10083,4234,5848,0,12570,11300,2,1,185,6,4,2,2027,15,0,0,13,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174034405
200222324,The Real DJ,DJ DARC,10,true,1055,3031,1053,3086,1001,0,3340,6,1,3,4,1,2,1018,0,0,0,0,0,67801,6829,60972,0,443,7526,1197,6328,0,1331,2,0,0,0,0,0,8327,4192,3755,380,8658,6600,2,0,120,4,0,4,124,12,0,0,6,0,true,false,false,true,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,156813577
200222324,The Real DJ,DJ DARC,3,true,1055,2010,3072,0,3006,0,3340,1,2,3,0,1,0,1031,0,0,0,0,0,42386,513,41873,0,0,1933,198,1735,0,356,2,0,0,0,0,0,4103,1964,1936,203,6870,5300,1,0,80,1,0,1,21,10,0,0,4,0,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,139808881
200053490,Lach,patto33,10,false,3285,3165,3020,3374,3135,1026,2052,13,11,30,5,2,3,399,1,0,0,0,0,112505,99471,2499,10533,0,58821,48399,1115,9306,7632,1,9105,676,676,0,60,32462,26167,5590,703,16922,15500,1,0,53,0,,,450,18,0,0,,,false,false,false,false,false,false,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8229,6711,0,0,8226,250,1292,0,8210,0,0,0,8237,1087,0,0,8126,1431,0,0,8135,5,0,0,8200,8100,213683291
200053490,Lach,patto33,10,true,3124,3115,1058,3006,0,0,2052,7,9,12,2,2,1,209,1,0,0,0,0,41728,14005,27497,226,0,18286,8436,9624,226,2778,1,8477,1181,1181,0,0,18576,7750,7942,2883,11102,8750,1,0,40,0,,,0,16,0,0,,,false,false,false,false,false,false,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8021,1472,0,0,9111,543,0,0,9104,11,40,0,8014,548,0,0,8275,7,0,0,8234,79,0,0,8000,8200,213682504